,,Basics,,,,,,,Year / project analysed,,,Information from CC Website,,,,Links,,,,People Helped,,,,,,,,,,,,,Money Flows - to find true(r) cost,,Money Flows - to find true(r) cost,,,,,,,,,,,,Money Flows - Incoming,,Reserves,,,App-Related Info,,,,,Description of charity,,Stories,Stories - source,Logo image,Photo Image,Photo Image,Photo Caption,Photo - source,Other ,,,,,Educated Guesses of Quality,,,
MHA (aka Methodist Homes),,,Elderly,Direct Work,United Kingdom,1083995,Yes,Sanjay,Retirement Living,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=1083995&SubsidiaryNumber=0&DocType=AccountList,http://apps.charitycommission.gov.uk/Accounts/Ends95/0001083995_AC_20160331_E_C.pdf,,P6 of the accounts shows the capacity and the occupancy - these have been multiplied to get the number of people cared for,"2,578",people (singular: person) supported with retirement living,"Our interpretation of the accounts suggests that most of the cost is covered by the elderly people or their family, so donations here are just subsidising that cost. MHA provides retirement accommodation and takes out the worry about maintaining the property",,,,,,,,,,,"£36,376,245","£32,956,839",,,"£3,419,406","£1,327",,,,,,,,,,,,,,,,,,,"MHA Care Homes, Retirement Villages, Dementia Care and Community Support for the Elderly.",,,,,,,,,,,,,,,,,
MHA (aka Methodist Homes),,,Elderly,Direct Work,United Kingdom,1083995,Yes,Sanjay,Live at home,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=1083995&SubsidiaryNumber=0&DocType=AccountList,http://apps.charitycommission.gov.uk/Accounts/Ends95/0001083995_AC_20160331_E_C.pdf,,P6 of the accounts,"10,242",people (singular: person) supported in the community,"This support is from local schemes promoting independence and wellbeing for people aged 60 and over who live in their own homes. The support includes signposting, newsletters, activities and events such as lunch clubs.",,,,,,,,,,,"£3,097,739",,,,"£3,097,739",£302,,,,,,,,,,,,,,,,,,,"MHA Care Homes, Retirement Villages, Dementia Care and Community Support for the Elderly.",,,,,,,,,,,,,,,,,
Motability,,,,,,,Yes,Sanjay,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Motor Neurone Disease Association,,,,,,,Yes,Sanjay,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,#N/A,,,
Nacro,,,,,,,Yes,Sanjay,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Narcolepsy UK,,,,,,,Yes,Sanjay,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Mosac,,Sexual violation,,Direct Work,United Kingdom,,Yes,Sanjay,Overall,1-Apr-2014,31-Mar-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=1139077&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends77/0001139077_AC_20150331_E_C.pdf,,No of beneficiaries stated on P3-4,852,,,,,,,,,,,,,"£241,753",0,,,"£241,753",£284,,,,,,,,"Have assumed that the number of beneficiaries equals the number of people who called the helpline because almost every service user will start off by using the helpline. This assumption may not be quite accurate, eg if someone called the helpline in a previous year, or sometimes there are social work referrals that come through without going via the helpline, however I don't think this is a bad approximation","£250,672","£250,539",,,,,?? to be decided,,,,,,,,,,,,,,I used to be on the board,,,,B,3,,
Mosac,,Sexual violation,,Direct Work,United Kingdom,,Yes,Sanjay,Helpline,1-Apr-2014,31-Mar-2015,Yes,,,,,,,No of beneficiaries stated on P3-4,852,,,,,,,,,,,,,not known,,,,#VALUE!,#VALUE!,,,,,,,,,,,,,,,?? to be decided,,,,,,,,,,,,,,I used to be on the board,,,,#VALUE!,2,"The helpline is the ""point of entry"" for access to services - almost all service users start off as users of the helpline. The intrinsic value of the helpline is variable, with some callers finding the helpline to be hugely intrinsically valuable as a way to manage the trauma, although for some other callers the interaction is more perfunctory - for some the real value of the helpline is the fact that it enables access to some of Mosac's other services",
Mosac,,Sexual violation,,Direct Work,United Kingdom,,Yes,Sanjay,Advocacy,1-Apr-2014,31-Mar-2015,Yes,,,,,,,No of beneficiaries stated on P3-4,324,,,,,,,,,,,,,not known,,,,#VALUE!,#VALUE!,,,,,,,,,,,,,,,?? to be decided,,,,,,,,,,,,,,I used to be on the board,,,,#VALUE!,3,"For some families the advocacy provided by Mosac will be life-changingly important, and Mosac's insight will be difference between a successful prosecution or not. In other cases, Mosac's handholding at court will be valuable in reducing the impact of what will still be a re-traumatising experience",
Mosac,,Sexual violation,,Direct Work,United Kingdom,,Yes,Sanjay,Counselling,1-Apr-2014,31-Mar-2015,Yes,,,,,,,No of beneficiaries stated on P3-4,58,,,,,,,,,,,,,not known,,,,#VALUE!,#VALUE!,,,,,,,,,,,,,,,?? to be decided,,,,,,,,,,,,,,I used to be on the board,,,,#VALUE!,4,"High quality counselling has a life changing impact on people, although the issues are deep and complex, and I imagine many people will come away with the issues not yet fully resolved. One of the axes I ground when I was on the board was that we should have been able to see data on this, and the data was being gathered, but actually getting round to putting it into a report was hard and didn't happen while I was there, so I don't know how often this happens",
Mosac,,Sexual violation,,Direct Work,United Kingdom,,Yes,Sanjay,Play therapy,1-Apr-2014,31-Mar-2015,Yes,,,,,,,No of beneficiaries stated on P3-4,40,,,,,,,,,,,,,not known,,,,#VALUE!,#VALUE!,,,,,,,,,,,,,,,?? to be decided,,,,,,,,,,,,,,I used to be on the board,,,,#VALUE!,4,"High quality counselling has a life changing impact on people, although the issues are deep and complex, and I imagine many people will come away with the issues not yet fully resolved. One of the axes I ground when I was on the board was that we should have been able to see data on this, and the data was being gathered, but actually getting round to putting it into a report was hard and didn't happen while I was there, so I don't know how often this happens",
Mosac,,Sexual violation,,Direct Work,United Kingdom,,Yes,Sanjay,Parent workshops,1-Apr-2014,31-Mar-2015,Yes,,,,,,,No of beneficiaries stated on P3-4,103,,,,,,,,,,,,,not known,,,,#VALUE!,#VALUE!,,,,,,,,,,,,,,,?? to be decided,,,,,,,,,,,,,,I used to be on the board,,,,#VALUE!,3,,
Napac,,Sexual violation,,Direct Work,United Kingdom,1069802,Yes,Toby J,Overall,1-Jun-2015,31-May-2016,Yes,• GENERAL CHARITABLE PURPOSES  • EDUCATION / TRAINING  • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN • OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • ACTS AS AN UMBRELLA OR RESOURCE BODY ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1069802&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends02/0001069802_AC_20160531_E_C.pdf,,,"5,457",call(s) to support line,,,,,,,,,,,,"£578,188",,,,"£578,188",£105.95,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Survivors UK,,Sexual violation,Men,Direct Work,United Kingdom,,Yes,Toby J,Overall,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Avert,,Health & Education & HIV/AIDS & Sexual Health,,Direct Work,Malawi & Lesotho & Zambia & South Africa,1074849,Yes,Jeremy Y,Overall,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • THE GENERAL PUBLIC / MANKIND,• MAKES GRANTS TO ORGANISATIONS  • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1074849&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0001074849_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,"£624,607",,,,"£624,607",,,,,,,,,,,,,,"£3,565,988 in endowment funds (p27), generating income and with some disposals (p25).  Pages 20-21: ""AVERT does not hold unrestricted funds in reserve. Based on the financial structure of the charity and its reliance on its expendable endowment, the Trustees have taken the decision to ensure all funds held by the charity are well invested to ensure a maximum return approach.""  ",,No,,Medium,,"An international charity providing details about HIV transmission, statistics, and symptoms, including information for young people and personal stories.",,,,,,,,,,,,,,#N/A,,,"£70,829"
Avert,,Health & Education & HIV/AIDS & Sexual Health,,Direct Work,Malawi & Lesotho & Zambia & South Africa,1074849,Yes,Jeremy Y,Website for global information and education,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • THE GENERAL PUBLIC / MANKIND,• MAKES GRANTS TO ORGANISATIONS  • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1074849&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0001074849_AC_20160331_E_C.pdf,,Beneficiaries summary page 2; beneficiary project detail pages 8-9; costs breakdown pages 32-33,"10,400,000",website user(s),,,,,,,,,,,,"£295,626",,,,"£295,626",£0.03,,,,,,,,,,,,,,,No,,Medium,,"An international charity providing details about HIV transmission, statistics, and symptoms, including information for young people and personal stories.",,,,,,,,,,,,,,#N/A,,,
Avert,,Health & Education & HIV/AIDS & Sexual Health,,Direct Work,Malawi & Lesotho & Zambia & South Africa,1074849,Yes,Jeremy Y,Project in Malawi,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • THE GENERAL PUBLIC / MANKIND,• MAKES GRANTS TO ORGANISATIONS  • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1074849&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0001074849_AC_20160331_E_C.pdf,,Beneficiaries summary page 2; beneficiary project detail pages 10-13; costs breakdown pages 32-33,"33,231",people (singular: person) tested for HIV,,,,,,,,,,,,"£66,400",,,,"£66,400",£2.00,,,,,,,,Annual costs: scaled up grants to allocate charity's admin costs proportionately between projects,,,,,,,Yes,,Medium,,"An international charity providing details about HIV transmission, statistics, and symptoms, including information for young people and personal stories.",,,,,,,,,,,,,,#N/A,,,
Avert,,Health & Education & HIV/AIDS & Sexual Health,,Direct Work,Malawi & Lesotho & Zambia & South Africa,1074849,Yes,Jeremy Y,Project in Lesotho,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • THE GENERAL PUBLIC / MANKIND,• MAKES GRANTS TO ORGANISATIONS  • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1074849&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0001074849_AC_20160331_E_C.pdf,,Beneficiaries summary page 2; beneficiary project detail pages 10-13; costs breakdown pages 32-33,9400,adolescent(s) reached with HIV information,,,,,,,,,,,,"£14,914",,,,"£14,914",£1.59,,,,,,,,Annual costs: scaled up grants to allocate charity's admin costs proportionately between projects,,,,,,,No,,Medium,,"An international charity providing details about HIV transmission, statistics, and symptoms, including information for young people and personal stories.",,,,,,,,,,,,,,#N/A,,,
Avert,,Health & Education & HIV/AIDS & Sexual Health,,Direct Work,Malawi & Lesotho & Zambia & South Africa,1074849,Yes,Jeremy Y,Project in Zambia,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • THE GENERAL PUBLIC / MANKIND,• MAKES GRANTS TO ORGANISATIONS  • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1074849&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0001074849_AC_20160331_E_C.pdf,,Beneficiaries summary page 2; beneficiary project detail pages 10-13; costs breakdown pages 32-33,5402,people (singular: person) screened for TB or HIV,,,,,,,,,,,,"£32,195",,,,"£32,195",£5.96,,,,,,,,Annual costs: scaled up grants to allocate charity's admin costs proportionately between projects,,,,,,,No,,Medium,,"An international charity providing details about HIV transmission, statistics, and symptoms, including information for young people and personal stories.",,,,,,,,,,,,,,#N/A,,,
Avert,,Health & Education & HIV/AIDS & Sexual Health,,Direct Work,Malawi & Lesotho & Zambia & South Africa,1074849,Yes,Jeremy Y,Project in South Africa,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • THE GENERAL PUBLIC / MANKIND,• MAKES GRANTS TO ORGANISATIONS  • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1074849&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0001074849_AC_20160331_E_C.pdf,,Beneficiaries summary page 2; beneficiary project detail pages 10-13; costs breakdown pages 32-33,20,rural communities (singular: community) given support for elderly women,,,,,,,,,,,,"£52,742",,,,"£52,742","£2,637.10",,,,,,,,Annual costs: scaled up grants to allocate charity's admin costs proportionately between projects,,,,,,,No,,Medium,,"An international charity providing details about HIV transmission, statistics, and symptoms, including information for young people and personal stories.",,,,,,,,,,,,,,#N/A,,,
Terrence Higgins Trust,,HIV/AIDS & Sexual Health,,,,288527,Yes,Matt S,Clinical,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO INDIVIDUALS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=288527&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends27/0000288527_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Terrence Higgins Trust,,HIV/AIDS & Sexual Health,,,,288527,Yes,Matt S,HIV prevention and sexual health promotion,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO INDIVIDUALS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=288527&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends27/0000288527_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Terrence Higgins Trust,,HIV/AIDS & Sexual Health,,,,288527,Yes,Matt S,HIV long term condition management,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO INDIVIDUALS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=288527&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends27/0000288527_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Terrence Higgins Trust,,HIV/AIDS & Sexual Health,,,,288527,Yes,Matt S,Campaigning and building support,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • THE PREVENTION OR RELIEF OF POVERTY ,• THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO INDIVIDUALS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=288527&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends27/0000288527_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
